house_name,location,bedroom_count,bathroom_count,carport_count,price,land_area (m2),building_area (m2),category
"Jual rumah Rajawali Sakti untuk home industri, gudang, kantor","Andir, Bandung",2,3,1,3900000000,270,450,rumah
Dijual Rumah Town House Baru di Sayap Jenderal Sudirman,"Andir, Bandung",2,2,1,1200000000,38,114,rumah
Rumah Bagus Dekat Rs Santosa Dan Gerbang Tol Pasteur,"Andir, Bandung",7,3,0,4100000000,650,200,rumah
Rumah 2 lantai di Maleber ,"Andir, Bandung",0,0,0,1500000000,170,350,rumah
Rumah 2 Lantai di Rajawali Sakti Dekat Supermarket,"Andir, Bandung",4,1,0,1100000000,97,90,rumah
Rumah Jalan Elang Dekat Pusat Kota,"Andir, Bandung",3,2,2,2750000000,245,190,rumah
Jual Cepat Rumah di Maleber Rajawali Bisa Untuk Usaha,"Andir, Bandung",5,2,3,3300000000,350,258,rumah
Rumah Butuh Renovasi 2 Lantai SHM hadap Timur di Bandung,"Andir, Bandung",4,2,4,3500000000,240,200,rumah
Jual Rumah Luas Dan Strategis Mainroad Rajawali Bandung,"Andir, Bandung",9,3,6,10500000000,660,200,rumah
Dijual Rumah Bagus Di Maltra Residence Maleber (phlp),"Andir, Bandung",3,2,0,2300000000,137,170,rumah
Rumah Lama di Rajawali Dekat Telkom Dan Rs,"Andir, Bandung",9,3,3,10500000000,660,200,rumah
Rumah Hitung Tanah di Komplek Elang,"Andir, Bandung",3,2,0,1200000000,126,98,rumah
Dijual Rumah Murah Strategis di Komp Pesona Pasteur Residence,"Andir, Bandung",2,1,0,875000000,100,60,rumah
Dijual Rumah Nyaman Furnish Terawat di Dadali,"Andir, Bandung",4,3,0,5500000000,394,420,rumah
Rumah Hitung Tanah Dekat Masjid Sayap Dadali Bandung,"Andir, Bandung",3,2,0,1750000000,233,230,rumah
Rumah Dijual Terawat Siap Huni di Area Rajawali,"Andir, Bandung",3,3,0,2200000000,159,130,rumah
Dijual rumah di Andir Townhouse,"Andir, Bandung",3,3,1,1800000000,63,63,rumah
"Rumah 2,5 Lantai Strategis Tengah Kota di Sayap Sudirman Bandung","Andir, Bandung",6,4,0,7000000000,143,288,rumah
Di Jual Rumah Bangunan Baru Jl Elang Bandung,"Andir, Bandung",8,4,0,4250000000,269,439,rumah
Dijual Cepat Rumah Siap Huni di Komplek Dadali ,"Andir, Bandung",4,3,1,3500000000,240,200,rumah
"Dijual Rumah Unfurnished di Jl. Rajawali Sakti I , Bandung","Andir, Bandung",4,3,2,1800000000,158,150,rumah
Rumah Bersih Nyaman 2 Lantai Di Jalan Waringin Andir Bandung,"Andir, Bandung",4,2,0,600000000,85,80,rumah
Rumah Mungil Minimalis Murah di kota bandung dalam Gang 20 M ke Jl Rajawali Timur Bandung,"Andir, Bandung",1,1,0,265000000,22,46,rumah
" Rumah SHM - Sertifikat Hak Milik di Maleber, Andir","Andir, Bandung",5,4,1,1500000000,170,350,rumah
Rumah Terawat di Pusat Kota Bandung Sayap Rajawali Andir,"Andir, Bandung",4,1,1,1100000000,97,90,rumah
Rumah Siap Huni di Sayap Rajawali,"Andir, Bandung",3,2,0,2350000000,198,175,rumah
Strategis Ruko 2 Lantai Area Rajawali Garuda Andir Bandung Kota,"Andir, Bandung",4,2,2,2570000000,134,220,ruko
Rumah Nyaman Berada Dipusat Kota Bandung di Halteu Utara,"Andir, Bandung",4,1,1,500000000,120,110,rumah
Dijual Rumaah di Lugina Andir,"Andir, Bandung",2,1,1,3000000000,240,200,unknown
"Jl. Elang, Garuda, Andir. Dijual Rumah 3 Lantai di Kota Bandung","Andir, Bandung",2,2,1,550000000,31,77,rumah
Rumah 2 Lantai dijual bagus siap huni sayap andir bandung,"Andir, Bandung",2,2,0,1400000000,137,160,rumah
HOT DEAL SALE!! YUK MILIKI RUMAH HOKI!! Rumah Bagus Minimalis Campaka Andir,"Andir, Bandung",2,2,1,1100000000,72,65,rumah
HOT DEAL SALE!! YUK KEPOIN HARGA KEREN!! Rumah Bagus Campaka Andir Pasteur,"Andir, Bandung",4,2,2,1250000000,200,150,rumah
Rumah ex kos2 an jl Maleber Barat,"Andir, Bandung",5,3,0,400000000,56,95,kos
Dijual Rumah Baru Ditengah Kota Andir. Rumah Sudah Smart Home,"Andir, Bandung",3,2,1,1600000000,70,116,rumah
Dijual Rumah Baru Ditengah Kota Andir. Rumah Sudah Smart Home,"Andir, Bandung",3,2,1,1600000000,70,116,rumah
Rumah Minimalis Sayap Rajawali Ciroyom Bandung,"Andir, Bandung",4,2,1,1800000000,89,145,rumah
Rumah 2 lantai di jl Halteu Utara ,"Andir, Bandung",4,2,1,1800000000,89,145,rumah
Rumah Kawasan Ramai Cocok Untuk Usaha di Kebon Jati,"Andir, Bandung",0,0,0,11900000000,598,550,rumah
Dijual rumah mewah bagus dan twrawat kompleks perumahan Dadali Bandung,"Andir, Bandung",7,4,2,6500000000,364,500,rumah
Dijual rumah kawasan sayap Jalan Elang Bandung,"Andir, Bandung",3,1,0,2000000000,200,180,rumah
Rumah di Bawah Pasaran di Jalan Elang Andir Pusat Kota Bandung,"Andir, Bandung",5,7,2,9000000000,718,1000,rumah
TURUN HARGA! RUMAH RAJAWALI SAKTI (DEKAT PUSAT KOTA),"Andir, Bandung",6,3,2,2000000000,161,200,rumah
Rumah Besar Rajawali,"Andir, Bandung",5,4,0,8900000000,447,700,rumah
Rumah Tinggal lokasi strategis di pusat kota Bandung ,"Andir, Bandung",4,2,1,1200000000,120,100,rumah
Rumah di Sayap Rajawali 2 Lantai (HSO),"Andir, Bandung",4,2,4,3500000000,240,200,rumah
Jual rumah pusat kota ,"Andir, Bandung",5,4,1,1350000000,170,350,rumah
Liat Aja Sendiri Beli Rumah Keren Komplek Biofarma Andir Bandung,"Andir, Bandung",4,3,1,35000000000,317,200,rumah
Rumah 2 Lantai di Rajawali Sakti Dekat Supermarket,"Andir, Bandung",4,1,0,1100000000,97,90,rumah
Rumah di Rajawali lokasi strategis siap huni ,"Andir, Bandung",4,1,1,1100000000,97,90,rumah
DIJUAL RUMAH ASRI BANGUNAN KOKOH TERAWAT DI ANDIR BANDUNG,"Andir, Bandung",3,1,0,550000000,125,115,rumah
"Rumah Strategis di Komplek Dadali Bandung Dkt Rs , Stasiun Kereta","Andir, Bandung",4,3,0,5800000000,400,400,rumah
"Rumah 2 Lantai Murah Tengah Kota Sayap Rajawali, Bandung","Andir, Bandung",4,1,1,1100000000,97,90,rumah
Rumah perkomplekan,"Andir, Bandung",4,3,1,4000000000,202,300,rumah
Rumah Hunian Pusat Kota Bandung Murah Andir Town House,"Andir, Bandung",3,2,2,1400000000,49,72,rumah
Rumah sayap pajajaran Minimalis 2 Lantai Hommy terawat,"Andir, Bandung",4,4,4,1580000000,178,250,rumah
Rumah Besar Tengah Kota Sayap Sudirman,"Andir, Bandung",7,4,0,11000000000,188,260,rumah
Dijual Rumah Pusat Kota Dekat Mall Paskal 23,"Andir, Bandung",3,2,1,1600000000,70,116,rumah
Dijual rumah lokasi dekat dengan Bandara husen kota bandung,"Andir, Bandung",4,3,1,1750000000,158,150,rumah
HOT DEAL SALE!! MILIKI Rumah 2 Lantai Bagus Maleber Andir,"Andir, Bandung",3,1,0,325000000,38,70,rumah
Rumah Dijual Minimalis Cantik di Dalam Komplek Sayap Rajawali,"Andir, Bandung",3,2,0,1200000000,126,98,rumah
Rumah Cantik Murah Siap Huni di Komplek Elang Bandung,"Andir, Bandung",6,5,2,1500000000,187,370,rumah
Rumah Cantik Murah Siap Huni di Komplek Elang Bandung,"Andir, Bandung",6,5,2,1500000000,187,370,rumah
Rumah Siap Huni dengan Hunian Asri & Dalam Komplek @Bandung,"Andir, Bandung",3,2,2,7000000000,510,300,rumah
Dijual Rumah Posisi Tusuk Sate Di Jl Garuda Kota Bandung,"Andir, Bandung",5,4,0,5300000000,270,160,rumah
Dijual Rumah Posisi Tusuk Sate Di Jl Garuda Kota Bandung,"Andir, Bandung",5,4,0,5300000000,270,160,rumah
Jual Rumah Sayap Rajawali ,"Andir, Bandung",5,4,1,1500000000,170,350,rumah
Rumah Pusat Kota Sayap Dulatip Akses Gang,"Andir, Bandung",4,2,0,2500000000,168,165,rumah
Rumah Minimalis Tengah Kota Andir Town House,"Andir, Bandung",2,2,1,999000000,39,52,rumah
Rumah Pasteur Bonus Furnished Exclusive 1.3KM SMAN 13 Andir Cibeureum,"Andir, Bandung",4,3,2,1990000000,104,125,rumah
Rumah cantik terawat di Andir town house kota Bandung ,"Andir, Bandung",2,2,1,1000000000,39,525,rumah
Rumah Pasteur Bonus Furnished Exclusive 1.3KM SMAN 13 Andir Cibeureum,"Andir, Bandung",4,11,2,1990000000,104,125,rumah
Rumah 2 Lantai Siap Huni di Sayap Pasteur Bandung ,"Andir, Bandung",4,4,0,2500000000,153,167,rumah
"Pasti Bikin Jatuh Cinta Rumahnya Bersih Terawat Dengan Sempurna di Tengah Kota Bandung, Komplek Dadali","Andir, Bandung",5,4,2,5500000000,392,260,rumah
Dijual Rumah Di Sayap Rajawali Bandung ,"Andir, Bandung",4,4,1,2500000000,228,450,rumah
Rumah Kost 3 Lantai Di Ciroyom Andir Bandung,"Andir, Bandung",11,5,0,2250000000,163,300,kos
Dijual Rumah Tengah Kota Rajawali Sakti Bandung,"Andir, Bandung",3,2,1,3700000000,235,150,rumah
Dijual Rumah Tinggal Di Halteu Selatan Kota Bandung,"Andir, Bandung",3,2,2,2000000000,140,90,rumah
Rumah 2 Lantai Siap Huni di Town House Andir,"Andir, Bandung",3,2,1,1600000000,70,116,rumah
Jual Rumah Siap Huni Sudirman Town House Area Sudirman,"Andir, Bandung",4,4,2,5000000000,160,226,rumah
Rumah Apik Kec Andir,"Andir, Bandung",3,2,0,3950000000,202,360,rumah
"Jual Rumah Tipe Split House 2 Lantai  di Jamika, andir Bandung","Andir, Bandung",5,3,1,4000000000,184,234,rumah
Rumah Terawat Nyaman Dan Aman di Sayap Garuda Bandung,"Andir, Bandung",4,5,0,4750000000,405,700,rumah
Rumah di rajawali dijual murah,"Andir, Bandung",4,1,1,1100000000,97,90,rumah
Rumah di Cempaka Hijau(as) Andir Maleber dekat Bandara Husein,"Andir, Bandung",2,2,0,1300000000,137,160,rumah
Jual Cepat Rumah Tengah Kota Bandung Rajawali Andir,"Andir, Bandung",4,1,2,1100000000,97,120,rumah
"Stok Terbatas Nih... Rumah Tengah Kota, Sangat Strategis Area Cibadak","Andir, Bandung",4,4,1,3600000000,127,250,rumah
"Ruko Maleber Pajajaran, Lokasi Strategis, Cocok Untuk Usaha","Andir, Bandung",4,3,1,2500000000,259,270,ruko
Rumah siap huni elang,"Andir, Bandung",0,2,1,1550000000,129,98,rumah
"Rumah Bagus di Rajawali, Bandung, Siap Huni H","Andir, Bandung",4,2,0,1400000000,140,160,rumah
Jual Cepat Rumah Megah di Andir Tengah Kota Bandung,"Andir, Bandung",4,4,6,4950000000,550,250,rumah
"Rumah Nyaman Untuk Hunian di Srigunting Utara, Sayap Rajawali","Andir, Bandung",4,2,3,3300000000,240,200,rumah
Rumah Siap Huni di Komplek Dadali,"Andir, Bandung",5,3,0,6500000000,475,300,rumah
Rumah Sudirman Townhouse Di Jalan Jendral Sudirman Lokasi Strategis Dekat Pusat Kota,"Andir, Bandung",5,4,1,6500000000,195,320,rumah
 Rumah Bagus Dijual Harga Dibawah Njop di Sudirman Bandung,"Andir, Bandung",4,3,1,4000000000,255,350,rumah
Dijual Rumah 1 Lantai Strategis Area Pagarsih Jamika Bandung,"Andir, Bandung",3,1,0,600000000,71,65,rumah
RUMAH BESAR MURAH BANDUNG KOTA,"Andir, Bandung",7,5,0,15000000000,1210,750,rumah
"Rumah Super Strategis di Rajawali Sakti, Bandung","Andir, Bandung",3,5,2,4500000000,316,250,rumah
"Rumah Bagus Terawat Di Jl Garuda, Dadali Srigunting Andir ","Andir, Bandung",4,3,2,6250000000,625,457,rumah
Jual Rumah tengah kota siap huni,"Andir, Bandung",3,2,1,1550000000,129,100,rumah
Rumah Usah Lux Home Industri Rajawali Timur Jual Cepat Murah,"Andir, Bandung",5,4,6,8500000000,500,574,rumah
Rumah Besar di Sayap Andir,"Andir, Bandung",5,3,2,6500000000,475,300,rumah
Rumah Andir,"Andir, Bandung",5,2,3,8000000000,760,250,rumah
"RUKO Jendral Sudirman, dkt Cibadak","Andir, Bandung",2,2,0,7500000000,165,300,ruko
"Rumah Bagus di Rajawali, Bandung, Siap Huni ","Andir, Bandung",4,2,0,1400000000,140,160,rumah
RUMAH PAJAJARAN BANDUNG,"Andir, Bandung",4,3,0,19000000000,580,280,rumah
Rumah Toko Hitung Tanah Saja di Jendral Sudirman Bandung,"Andir, Bandung",0,0,0,1800000000,600,800,rumah
sudirman. rumah gudang mainroad. bandung,"Andir, Bandung",4,3,0,10500000000,439,1000,rumah
"Rumah Strategis di Komplek Dadali Bandung Dkt Rs , Stasiun Kereta","Andir, Bandung",4,3,0,5800000000,400,400,rumah
Dijual Rumah Kelenteng Sayap Cibadak Bandung,"Andir, Bandung",6,3,2,4250000000,253,180,rumah
"Rumah 2 Lantai Bagus SHM di Gang Kebon Kopi, Bandung","Andir, Bandung",2,1,0,260000000,32,60,rumah
Rumah di sayap Rajawali bisa dijadikan tempat usaha ,"Andir, Bandung",3,1,1,3000000000,350,258,rumah
Rumah Cantik Nyaman Siap Huni di Kompleks Kertalaksana Bandung,"Andir, Bandung",4,3,2,3600000000,202,300,rumah
Rumah Cantik Nyaman Siap Huni di Kompleks Kertalaksana Bandung,"Andir, Bandung",4,3,2,3600000000,202,300,rumah
Rumah Siap Huni Di Tengah Kota Andir Town House Bandung,"Andir, Bandung",3,2,0,1400000000,49,72,rumah
Rumah Sayap Rajawali,"Andir, Bandung",3,2,1,2500000000,196,150,rumah
Rumah Sayap Rajawali,"Andir, Bandung",3,2,1,2500000000,196,150,rumah
"Rumah Cluster Exclusive SHM Andir Town House,bandung","Andir, Bandung",3,2,0,1400000000,49,72,rumah
Rumah Bagus Dan Luas Tengah Kota di Mainroad Garuda Kota Bandung,"Andir, Bandung",5,3,0,17000000000,770,557,rumah
Rumah di Maleber Barat Andir Strategis Bisa Untuk Usaha Jual Lelang,"Andir, Bandung",2,2,4,1240000000,216,273,rumah
Murah Rumah di Jalan Maleber Barat Andir,"Andir, Bandung",2,2,0,1240000000,216,273,rumah
"Rumah 2 Lantai Unfurnished di Komplek Elang , Bandung","Andir, Bandung",6,3,2,1500000000,187,370,rumah
"Rumah Dalam Komplek di Sayap Rajawali, Bandung","Andir, Bandung",3,2,1,1200000000,126,98,rumah
Jual rumah untuk kost Sayap Rajawali 2 lantai,"Andir, Bandung",7,3,1,2100000000,140,300,kos
Rumah Pasteur Bonus Furnished Exclusive 1.3KM SMAN 13 Andir Cibeureum,"Andir, Bandung",4,3,2,1990000000,104,125,rumah
Rumah di Cempaka Hijau Andir Maleber dekat Bandara Husein,"Andir, Bandung",2,2,0,1300000000,137,160,rumah
Rumah Luas Tengah Kota di Komplek Dadali Bandung,"Andir, Bandung",4,3,5,5300000000,394,420,rumah
Di jual rumah di komplek Kertalaksana,"Andir, Bandung",5,3,1,3600000000,184,234,rumah
Rumah Daerah Maleber Cocok Untuk Tempat Usaha Atau Kos Kost,"Andir, Bandung",5,4,1,2000000000,170,350,kos
Rumah Baru Minimalis Tengah Kota Andir Townhouse,"Andir, Bandung",3,2,0,1600000000,70,116,rumah
Rumah Besar Bisa Usaha di Mainroad Rajawali Timur Dkt Pasar Andir,"Andir, Bandung",5,4,4,7900000000,500,574,rumah
Dijual Rumah Layak Huni Sayap Gardujati Kota Bandung,"Andir, Bandung",3,2,0,3250000000,204,100,rumah
Rumah Murah Lokasi Pusat Kota Dalam Komlek Andir ,"Andir, Bandung",4,3,3,3500000000,202,300,rumah
Dijual Cepat Murah Rumah Bisa Usaha di Mainroad Sudirman Andir,"Andir, Bandung",4,3,0,4000000000,255,350,rumah
Rumah Dekat Rumah Sakit Rajawali Komplek Garuda Elang Andir,"Andir, Bandung",3,2,1,1100000000,129,98,rumah
Dijual Rumah Murah Minimalis Di Rajawali,"Andir, Bandung",3,2,1,1650000000,151,180,rumah
"Rumah Hitung Tanah Bagus di Komplek Cenderawasih Andir, Bandung","Andir, Bandung",8,4,4,4200000000,655,250,rumah
JUAL MURAH DIBAWAH NJOP HITUNG TANHH SJJA RUMAH BAGUS DI ANDIR,"Andir, Bandung",8,4,4,4200000000,665,250,rumah
Jual Rumah Bisa Untuk Gudang Dan Ruang Usaha Di Rajawali Sakti,"Andir, Bandung",2,2,0,3900000000,270,450,rumah
dijual cepat rumah 2 lantai,"Andir, Bandung",2,1,1,890000000,78,45,rumah
BU Rumah Pusat Kota Katapang Kencana Sudirman,"Andir, Bandung",2,1,1,890000000,78,45,rumah
Dijual Rumah Sayap Rajawali Hitung Tanah Masih Berjalan Kost ,"Andir, Bandung",8,8,0,1400000000,237,150,kos
Dijual Rumah di Rajawali Bandung,"Andir, Bandung",5,4,0,2200000000,87,150,rumah
Rumah Bagus 3 Lantai Siap Huni di Sayap Rajawali,"Andir, Bandung",3,3,1,3250000000,184,300,rumah
"5,6 M Nego Rumah Besar di Kompleks Dadali Rajawali Lt 394 M2 Lb 420 M2","Andir, Bandung",0,0,0,5600000000,394,420,rumah
Rumah Hitung Tanah Strategis di Pusat Kota Bandung Jalan Dulatip,"Andir, Bandung",3,2,0,5000000000,107,100,rumah
"Dijual rumah 1,5 lantai sayap Sudirman Bandung","Andir, Bandung",3,2,2,1800000000,140,90,rumah
"Rumah Dijual Strategis 3,5 Lantai di Mainroad Garuda , Bandung","Andir, Bandung",6,2,4,9500000000,391,500,rumah
Rumah Komplek DADALI Bandung,"Andir, Bandung",3,2,1,2500000000,200,150,rumah
Dijual Rumah Baru 2 Lantai Tengah Kota Dalam Cluster,"Andir, Bandung",3,2,1,1600000000,70,116,rumah
Dijual Rumah Murah di Rajawali Sakti,"Andir, Bandung",4,1,1,1100000000,97,90,rumah
Dijual Rumah Hitung Tanah Luas Main Road Cibereum Andir Kota Bandung,"Andir, Bandung",6,4,5,23000000000,1012,500,rumah
Dijual Rumah Cantik Minimalis Furnish di Istana Sudirman Regency,"Andir, Bandung",3,2,1,1500000000,74,100,rumah
"Dijual Rumah Baru SHM Ditengah Kota Andir, Bandung","Andir, Bandung",3,2,1,1600000000,70,116,rumah
Rumah di Rajawali dekat ke Bandara Husein,"Andir, Bandung",3,2,0,1150000000,127,128,rumah
DIJUAL RUMAH BARU LOKASI STRATEGIS TENGAH KOTA ONE GATE DAERAH ANDIR BANDUNG,"Andir, Bandung",3,2,1,1600000000,70,116,rumah
Rumah Terawat Nyaman Dan Aman di Sayap Garuda Bandung,"Andir, Bandung",4,5,0,4750000000,405,700,rumah
Rumah town house di pusat kota bandung,"Andir, Bandung",2,1,0,800000000,41,35,rumah
New House di Jalan Kembar Bandung,"Andir, Bandung",3,2,1,1950000000,102,130,unknown
"Rumah Diijual Bagus di Town House Andir, Bandung","Andir, Bandung",3,2,1,1600000000,70,116,rumah
"Rumah 2 Lantai Bagus Langka Di Andir Pusat Kota Bandung Rumah Semi Furnished SHM - Sertifikat Hak Milik Bagus di Andir Bandung, Andir","Andir, Bandung",3,2,2,4000000000,202,360,rumah
Rumah Tengah Kota Dim Komplek Kartalaksana Andir Bandung,"Andir, Bandung",3,2,2,4000000000,202,360,rumah
Dijual rumahSiap huni Town house  andir,"Andir, Bandung",3,2,1,1600000000,70,116,rumah
tanah murah BU sayap sudirman jamika andir pusat kota ,"Andir, Bandung",3,2,1,1600000000,150,90,unknown
Rumah Tinggal Cocok Untuk Home Industry Pusat Kota,"Andir, Bandung",2,2,1,1980000000,153,125,rumah
Jual Rumah Baru 2 Lantai Minimalis di Jln.Andir Bandung,"Andir, Bandung",3,2,1,1700000000,70,116,rumah
Rumah bonus Gudang di bandung dekat dengan Bandara,"Andir, Bandung",2,2,1,21000000000,500,964,rumah
Rumah Dijual di Andir Bandung,"Andir, Bandung",5,3,2,4500000000,404,300,rumah
Rumah 2 Lantai di Maleber Barat belakang Bagus,"Andir, Bandung",6,4,0,1400000000,170,350,rumah
Rumah Bagus 3 Lantai Siap Huni di Sayap Rajawali,"Andir, Bandung",3,3,1,3250000000,184,300,rumah
Dijual Rumah di Rajawali Bandung,"Andir, Bandung",5,4,0,2200000000,87,150,rumah
"Dijual Cepat Harga Murah Rumah Nyaman Siap Huni di Maltra Residence,bandung","Andir, Bandung",3,2,1,2300000000,137,170,rumah
Town house bagus cluster Paledang cibeureum,"Andir, Bandung",0,0,0,3900000000,124,200,unknown
Rumah dekat Jl Suryani / Nana Rohana / Jamika / Pagarsih / Sudirman,"Andir, Bandung",2,1,1,875000000,78,45,rumah
RUMAH TENGAH KOTA LOKASI STRATEGIS,"Andir, Bandung",9,3,0,10500000000,660,200,rumah
Jual Rumah Siap Huni di Jl.Elang Bandung,"Andir, Bandung",3,2,1,1700000000,126,98,rumah
"Rumah Posisi Tenah Kota di Halteu Selatan, Bandung","Andir, Bandung",3,2,0,2300000000,102,94,rumah
JUAL / SEWA Sayap CIBADAK ( Gg.Citepus ),"Andir, Bandung",3,1,0,900000000,75,100,unknown
Rumah Cantik Asri di Tengah Kota,"Andir, Bandung",7,4,8,11000000000,891,500,rumah
Rumah Area Kota di Ence Azis,"Andir, Bandung",5,3,1,5000000000,142,160,rumah
Rumah Cocok Untuk Pasutri Baru di Ence Azis,"Andir, Bandung",1,1,0,1500000000,35,70,rumah
"Rumah Minimalis Paledang Dekat Cibereum, Garuda Andir","Andir, Bandung",2,2,0,1350000000,137,160,rumah
Rumah Lama Bisa Utk Gudang Area Andir Bandung,"Andir, Bandung",3,2,1,2750000000,346,220,rumah
Rumah Jl Ciroyom ,"Andir, Bandung",6,5,0,4000000000,228,400,rumah
"RUMAH USAHA UNTUK GUDANG, KANTOR, HOME INDUSTRI RAJAWALI MAINROAD","Andir, Bandung",9,3,3,8250000000,760,970,rumah
For Sale: Rumah Kost-Kostan Sangat Strategis Kawasan Sayap Andir Bandung Kota,"Andir, Bandung",8,3,0,1600000000,193,180,kos
For Sale: Rumah Siap Huni Town House Sayap Andir Bandung Kota,"Andir, Bandung",3,2,1,1150000000,49,72,rumah
Kost an Sayap Sudirman Andir,"Andir, Bandung",6,6,0,775000000,84,84,kos
"Rumah Bagus Terawat Di Jl Garuda, Dadali Srigunting Andir ","Andir, Bandung",4,3,3,6250000000,625,457,rumah
Rumah Asik Baru Renovasi Jl Nyi Empok / Citepus Bandung [AL],"Andir, Bandung",3,2,0,1100000000,110,126,rumah
TURUN HARGA! RUMAH RAJAWALI SAKTI DEKAT PUSAT KOTA,"Andir, Bandung",6,3,0,1650000000,161,200,rumah
Rumah Komplek Dadali Bandung,"Andir, Bandung",3,2,0,2200000000,140,160,rumah
RUMAH RAJAWALI SAKTI BANDUNG,"Andir, Bandung",6,3,0,1900000000,161,200,rumah
Rumah Minimalis Daerah Maleber Vg ,"Andir, Bandung",5,4,1,1750000000,170,350,rumah
Rumah Sekaligus Bisa di Jadikan Toko Lokasi di Halteu Utara,"Andir, Bandung",3,2,1,3500000000,348,200,rumah
Rumah di Jalan Halteu Utara (HSO),"Andir, Bandung",4,2,1,1800000000,89,145,rumah
Rumah Rajawali Sakti ,"Andir, Bandung",2,3,0,3900000000,270,450,rumah
Rumah hitung tanah saja di Komplek Sayap Rajawali Timur,"Andir, Bandung",2,3,1,2000000000,158,150,rumah
"Rumah Bagus Komplek Dadali, Bandung Lokasi Strategis","Andir, Bandung",4,3,4,5400000000,394,400,rumah
Rumah Cocok Untuk Usaha Umkm Di Maleber,"Andir, Bandung",4,1,1,3100000000,350,258,rumah
Rumah dan Tempat Usaha Strategis di Sayap Rajawali,"Andir, Bandung",12,6,1,18500000000,1016,1500,rumah
menjual tanah kavling atau rumah indent free desain bebas banjir.,"Andir, Bandung",3,2,1,657000000,160,140,rumah
"Rumah Rajawali Sakti Dapat Untuk Home Industry, Gudang, Kantor","Andir, Bandung",2,3,0,3900000000,270,450,rumah
"Rumah Strategis di Komplek Dadali Bandung Dkt Rs , Stasiun Kereta","Andir, Bandung",4,3,0,5800000000,400,400,rumah
Jual Asset Sangat Murah Rumah Pusak Kota Andir Bandung,"Andir, Bandung",2,2,0,1240000000,216,273,rumah
"Dijual Rumah Nyaman 2 Lantai Siap Huni di Sayap Sudirman, Bandung","Andir, Bandung",4,3,3,3750000000,202,300,rumah
Dijual Disewakan Rumah Pelita Karya Maleber Bandung ,"Andir, Bandung",3,2,0,1500000000,275,300,rumah
Dijual Disewakan Rumah Pelita Karya Maleber Bandung ,"Andir, Bandung",3,2,0,1500000000,110,200,rumah
Rumah Murah Mainroad Sudirman  Untuk Usaha Harga dibawah NJOP,"Andir, Bandung",3,2,0,2500000000,205,205,rumah
Rumah  Strategis Akses Gang di Maleber Bandung ,"Andir, Bandung",4,3,0,300000000,140,100,rumah
"Rumah Bagus SHM di Jl Burung Tungku, Bandung","Andir, Bandung",4,3,0,5750000000,780,400,rumah
